SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200828|2I65BRYD6_5Y_DS10|"HY34 V8 5Y CD "|CD|INDX|CDX|CDXHY|2I65BRYD6|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|105.605|105.63|105.345|105.455|USD|65000000.0|65000000|65000000|65000000|0|65000000|65000000|0|7|7|0
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200828|2I65BYDW2_5Y_DS50|"IG34 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYDW2|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|66.7|67.45|66.7|67.45|USD|120000000.0|120000000|120000000|120000000|0|120000000|120000000|0|3|3|0
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585771|"1M AUD vs. USD Put at a delta of 50"|FX|O||AUDUSD||AUD|CASH||N|N|||P|82750|82750|82750|82750|AUD|500000000|10000000|363150016|0|363150016|7263000|0|7263000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585772|"1M AUD vs. USD Call at a delta of 50"|FX|O||AUDUSD||AUD|CASH||N|N|||P|80000|80000|80000|80000|AUD|500000000|10000000|363150016|0|363150016|7263000|0|7263000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585773|"1M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|191875|398750|79500|79500|USD|4250000000|85000000|4249999870|0|4249999870|85000000|0|85000000|3|0|3
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585774|"1M USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|191875|381250|77500|77500|USD|4250000000|85000000|4249999870|0|4249999870|85000000|0|85000000|3|0|3
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585775|"6M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|227850|462000|227850|462000|USD|1575000000|31500000|1575000060|0|1575000060|31500000|0|31500000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585776|"6M USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|214200|428925|214200|428925|USD|1575000000|31500000|1575000060|0|1575000060|31500000|0|31500000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585777|"2M EUR vs. USD Put at a delta of 50"|FX|O||EURUSD||EUR|CASH||N|N|||P|364375|364375|364375|364375|EUR|1250000000|25000000|1476749950|0|1476749950|29534998|0|29534998|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585778|"2M EUR vs. USD Call at a delta of 50"|FX|O||EURUSD||EUR|CASH||N|N|||P|351875|351875|351875|351875|EUR|1250000000|25000000|1476749950|0|1476749950|29534998|0|29534998|1|0|1
